CustomerID,Tenure,InternetService,Contract,MonthlyCharges,TotalCharges,PaymentMethod,Churn
C00052,1,FIBER,One Year,57.29,59.48,,No
C00053,51,dsl,One year ,69.6,3718.36,Electronic Check,No
C00054,44,Fiber Optic,month-to-month,62.4,2627.44,Credit Card,Yes
C00055,48,Fiber Optic,One Year,115.93,4971.56,Electronic Check,No
C00056,56, No Internet ,Two Year,86.99,4459.76,Bank Transfer,No
C00057,49,Fiber Optic,Two Year,97.67,5075.35,Credit Card,Yes
C00058,3,DSL,Month-to-Month,107.14,306.04,Electronic Check,No
C00059,67,Fiber Optic,Month-to-Month,47.71,3030.32,Electronic Check,Yes
C00060,11,DSL,Two Year ,82.82,791.29,Electronic Check,Yes
C00061,21,DSL,Month-to-Month,77.15,1818.66,Bank Transfer,Yes
C00062,3,DSL,One Year,68.95,224.38,Credit Card,No
C00063,11,DSL,One Year,80.57,767.96,Bank Transfer,No
C00064,3,Fiber Optic,Month-to-Month,78.91,248.85,Credit Card,No
C00065,6,DSL,Month-to-Month,15.0,83.39,Credit Card,Yes
C00066,9,Fiber Optic,One Year,115.08,943.4,Mailed Check,Yes
C00067,14,Fiber Optic,month-to-month,84.55,1198.14,Mailed Check,No
C00068,70,No Internet,One Year,32.93,2396.07,Mailed Check,No
C00069,12,Fiber Optic,Two Year,93.69,1286.15,Electronic Check,No
C00070,54,,One Year,83.0,4439.39,Mailed Check,No
C00071,27,FIBER,MONTHLY,77.71,2163.64,Bank Transfer,No
C00072,38,Fiber Optic,Month-to-Month, 102.67 ,3441.77,Bank Transfer,No
C00073,17,Fiber Optic,One Year,,$1169.95,,No
C00074,61,Fiber optic,Month-to-Month,58.49,3488.82,Mailed Check,No
C00075,65,Fiber Optic,month-to-month, 53.83 ,3999.03,Bank Transfer,Yes
C00076,47,DSL,Two Year,51.78,$2198.9,Bank Transfer,No
C00077,16,FIBER,Month-to-Month,80.54,$1267.04,Mailed Check,No
C00078,5,Fiber Optic,Month-to-Month,97.93,547.43,Bank Transfer,Yes
C00079,46,Fiber Optic,One Year,100.58,3979.92,Electronic Check,No
C00080,15,No Internet,Month-to-Month,55.58,812.51,Credit Card,No
C00081,59,No Internet,Two Year,70.96,4344.46,Mailed Check,No
C00082,40,No Internet,Month-to-Month,81.53,3178.63,,No
C00083,25,No Internet,Two Year,54.68,$1385.68,Credit Card,No
C00084,45,Fiber Optic,Month-to-Month, 34.63 ,1641.15,Electronic Check,No
C00085,49,DSL, Month-to-Month ,94.44,4844.17,Bank Transfer,Yes
C00086,0,Fiber Optic,Month-to-Month,82.65,73.57,Bank Transfer,No
C00087,35, Dsl,One Year,74.71,2744.36,Mailed Check,No
C00088,29,No Internet,Month-to-Month,65.89,1798.95,Electronic Check,No
C00089,1,DSL,Month-to-Month,105.78,113.37,Mailed Check,Yes
C00090,68, Dsl,Month-to-Month,82.57,4980.37,Bank Transfer,No
C00091,30,DSL,One Year,88.73,2687.63,Credit Card,No
C00092,7,DSL,Month-to-Month,54.52,337.91,Credit Card,Yes
C00093,60,NO INTERNET,Month-to-Month,69.97,4529.9,Mailed Check,No
C00094,65,Fiber Optic,Two Year,101.09,6667.05,Mailed Check,Yes
C00095,67,Fiber Optic,One Year,81.46,$5215.33,Electronic Check,No
C00096,44,Fiber Optic,month-to-month,68.67,3016.68,Bank Transfer,No
C00097,51,DSL,Month-to-Month,39.28,1998.09,Mailed Check,No
C00098,7,FIBER,Month-to-Month,113.26,771.16,Mailed Check,Yes
C00099,70,DSL, one year,38.26,2370.75,Credit Card,No
C00100,13,,Two Year,87.88,1221.71,Credit Card,No
C00101,28,Fiber Optic,Two Year ,80.26,2367.29,Electronic Check,No
C00102,63,dsl,Two Year,113.57,$6360.38,Electronic Check,No
C00103,36,No Internet,Month-to-Month,76.3,3045.34,Bank Transfer,No
C00104,40,DSL ,Two Year,81.62,3572.22,Bank Transfer,No
C00105,63,No Internet,One Year,-50,6581.24,Electronic Check,No
C00106,58,No internet,Month-to-Month,67.18,4076.68,Mailed Check,No
C00107,8,fiber optic,One Year,15.86,140.81,Credit Card,No
C00108,6,DSL,Month-to-Month,102.27,691.81,Credit Card,Yes
C00109,65,Fiber Optic,Month-to-Month,87.16,6031.27,Credit Card,Yes
C00110,70,DSL,One Year,93.13,6293.06,Credit Card,No
C00111,40,FIBER,Month-to-Month,59.49,2230.46,Electronic Check,Yes
C00112,25,Fiber Optic,One Year,76.84,1834.29,Mailed Check,No
C00113,7,Fiber Optic,One Year,15.0,116.58,Electronic Check,Yes
C00114,13, Dsl,Two Year, 113.96 ,1387.15,Credit Card,No
C00115,44,DSL,Month-to-Month,92.05,4464.79,Bank Transfer,No
C00116,1,DSL,Month-to-Month,,91.29,Electronic Check,Yes
C00117,41,Fiber Optic,MONTHLY,85.41,3181.94,Bank Transfer,No
C00118,56,Fiber Optic,One Year,85.82,4865.4,Credit Card,Yes
C00119,63,Fiber Optic,Two Year,103.33,6529.25,Mailed Check,No
C00120,3,DSL,One Year,97.9,251.66,Electronic Check,No
C00121,17,DSL,Month-to-Month,72.2,1409.29,Electronic Check,No
C00122,69,DSL,Two Year,50.49,$3221.64,Credit Card,No
C00123,50,Fiber Optic,Two Year,80.73,3825.96,Bank Transfer,No
C00124,2,NO INTERNET,Month-to-Month,58.07,122.03,Electronic Check,No
C00125,18,DSL,Month-to-Month, 89.84 ,1849.29,Bank Transfer,No
C00126,46, Dsl,Month-to-Month,66.94,3481.06,Electronic Check,Yes
C00127,45,Fiber Optic,Two Year,66.71,3051.5,Electronic Check,Yes
C00128,57,DSL,Month-to-Month,29.09,1475.07,Electronic Check,No
C00129,35,DSL,One Year,81.01,2481.9,Mailed Check,No
C00130,18,Fiber Optic,One Year,95.34,1713.33,Electronic Check,No
C00131,46,DSL, two year,86.65,4497.98,,No
C00132,54,No Internet,Month-to-Month,76.26,4158.67,Credit Card,No
C00133,62,DSL,Two Year,81.48,4656.84,Electronic Check,No
C00134,67,fiber optic,One Year,82.56,5455.24,Electronic Check,No
C00135,11,Fiber Optic,Month-to-Month,74.57,819.81,Electronic Check,Yes
C00136,26,DSL,Two Year,76.28,2127.88,Credit Card,No
C00137,10,Fiber Optic,Month-to-Month,90.54,886.0,Mailed Check,No
C00138,3,Fiber Optic,Month-to-Month, 39.94 ,136.36,Electronic Check,Yes
C00139,45,Fiber Optic,Month-to-Month,99.57,4062.63,Electronic Check,Yes
C00140,58,DSL,Month-to-Month,112.82,,Credit Card,No
C00141,59,Fiber Optic,Two Year, 104.72 ,6098.77,Bank Transfer,No
C00142,23,Fiber Optic,Month-to-Month,15.0,322.76,Bank Transfer,No
C00143,25,No Internet,Month-to-Month,62.29,1639.11,,Yes
C00144,27,Fiber Optic,One Year,15.0,417.49,Credit Card,Yes
C00145,57,Fiber Optic,Two Year,101.62,5079.19,Bank Transfer,No
C00146,3,Fiber Optic,2 Year,111.43,335.38,Electronic Check,No
C00147,59,NO INTERNET,Two Year,33.73,1959.67,Mailed Check,No
C00148,48,Fiber Optic,Two Year,77.6,3747.87,Bank Transfer,No
C00149,56,DSL,One Year,99.49,6024.49,Mailed Check,No
C00150,4,Fiber Optic,Month-to-Month,41.18,188.76,Bank Transfer,No
C00151,69,DSL,1 Year,17.56,1118.47,Bank Transfer,No
C00152,56,,Month-to-Month, 58.69 ,2932.88,Electronic Check,Yes
C00153,60,Fiber Optic,Month-to-Month,38.05,2538.74,Electronic Check,Yes
C00154,9,DSL,Month-to-Month,55.24,425.36,Mailed Check,No
C00155,66,DSL,Two Year,33.15,1932.14,Electronic Check,No
C00156,33,Fiber Optic,Month-to-Month,57.02,1616.86,Electronic Check,Yes
C00157,69,Fiber Optic,Two Year,28.28,2059.79,Electronic Check,No
C00158,9,Fiber Optic,One Year,117.86,1207.53,Electronic Check,No
C00159,28,No Internet,One Year,44.57,$1414.99,Bank Transfer,No
C00160,66,fiber optic,MONTHLY,65.73,$4100.51,Electronic Check,Yes
C00161,10,DSL,Two Year,,744.66,Bank Transfer,Yes
C00162,3,No Internet,Two Year ,42.93,$113.44,Bank Transfer,Yes
C00163,48,No Internet,Month-to-Month,80.9,3691.05,Electronic Check,Yes
C00164,3,DSL,Month-to-Month,54.8,187.75,Credit Card,Yes
C00165,23,Fiber Optic,Month-to-Month,98.89,2495.2,Mailed Check,No
C00166,55,Fiber Optic,Month-to-Month,50.62,3044.31,Credit Card,No
C00167,34,Fiber Optic,One Year,47.38,,Electronic Check,Yes
C00168,37,No Internet,One Year,137.55,5591.78,Electronic Check,No
C00169,49,Fiber Optic, Month-to-Month ,95.84,4499.18,Credit Card,No
C00170,25,Fiber Optic,One Year,77.95,1822.21,Credit Card,No
C00171,17, Fiber Optic ,Month-to-Month,51.63,810.81,Bank Transfer,No
C00172,58,No Internet,Month-to-Month,35.25,1864.85,,No
C00173,66,FIBER,Month-to-Month,95.44,5769.48,Mailed Check,No
C00174,45,Fiber Optic, Month-to-Month ,,2310.6,Electronic Check,No
C00175,10,Fiber Optic, Month-to-Month ,24.66,248.41,Mailed Check,Yes
C00176,8,DSL,Month-to-Month,97.68,,Electronic Check,Yes
C00177,25,No Internet,Month-to-Month,65.02,1725.95,Mailed Check,No
C00178,67,FIBER,One Year,42.62,2539.42,Electronic Check,No
C00179,65, Fiber Optic ,Month-to-Month,56.52,,Credit Card,Yes
C00180,7,DSL,Two Year,42.96,324.85,Credit Card,Yes
C00181,70,DSL, two year,62.56,4979.34,Electronic Check,No
C00182,39,Fiber Optic,Two Year,81.87,2972.6,Electronic Check,No
C00183,38,,Month-to-Month,26.48,964.06,Electronic Check,Yes
C00184,5,Fiber Optic,One Year,83.43,412.35,Bank Transfer,Yes
C00185,9,No Internet,Month-to-Month,97.27,898.73,Bank Transfer,No
C00186,40,No Internet,Two Year,,2503.49,Mailed Check,No
C00187,68,No Internet, Month-to-Month ,84.77,5004.51,Electronic Check,No
C00188,21,No Internet,One Year,78.62,1828.81,Mailed Check,No
C00189,50,Fiber Optic,One Year,96.94,4730.67,Mailed Check,No
C00190,36,Fiber Optic,Two Year,40.23,1444.77,Credit Card,No
C00191,44,DSL ,Month-to-Month,80.16,3336.96,Mailed Check,Yes
C00192,61,Fiber Optic,Month-to-Month,108.59,6992.17,Credit Card,No
C00193,14,DSL,One Year,44.92,665.55,Bank Transfer,No
C00194,23,fiber optic,Two Year, 16.91 ,381.36,Credit Card,No
C00195,62,Fiber Optic,Two Year, 49.9 ,$3440.27,Credit Card,Yes
C00196,28,Fiber Optic,month-to-month,122.78,3582.77,Bank Transfer,Yes
C00197,24,DSL,One Year,68.86,1647.42,Mailed Check,No
C00198,15,dsl,One Year,62.06,,Electronic Check,No
C00199,49,DSL,One Year,35.36,1836.04,Mailed Check,No
C00200,4,DSL,Month-to-Month,71.64,$306.97,Mailed Check,Yes
C00201,21, Fiber Optic ,Month-to-Month,77.39,1618.38,Electronic Check,Yes
C00202,32,No Internet,Month-to-Month,75.98,$2146.35,Credit Card,No
C00203,39,DSL,Month-to-Month,85.97,3415.52,,No
C00204,1,DSL,Month-to-Month,55.44,49.28,Mailed Check,No
C00205,35,Fiber Optic, Month-to-Month ,79.56,2487.81,Electronic Check,No
C00206,58,DSL,Month-to-Month,76.76,4629.86,,Yes
C00207,38,DSL,Month-to-Month,100.24,3643.51,Electronic Check,No
C00208,1,No Internet,Month-to-Month,81.69,71.88,Bank Transfer,No
C00209,52,DSL,Month-to-Month,94.77,5516.4,Credit Card,No
C00210,17,fiber optic,Two Year,101.43,1546.56,Credit Card,No
C00211,45,DSL,Two Year,100.81,4743.97,Bank Transfer,No
C00212,22,Fiber Optic,Month-to-Month,33.42,841.67,Credit Card,No
C00213,53,Fiber Optic,One Year,108.86,5290.08,,Yes
C00214,0,DSL,Month-to-Month,65.34,58.55,Credit Card,No
C00215,35,DSL,Two Year,57.38,2018.98,Mailed Check,No
C00216,71,Fiber Optic,Month-to-Month,85.25,6418.0,Mailed Check,No
C00217,39,DSL,One Year, 49.15 ,$2045.73,Bank Transfer,No
C00218,29,,One Year,73.08,1892.44,Electronic Check,No
C00219,19,No Internet,Month-to-Month,65.26,1084.44,Credit Card,No
C00220,37,DSL,One Year,81.92,2868.86,Bank Transfer,No
C00221,1,Fiber Optic,Month-to-Month,88.15,80.46,Mailed Check,No
C00222,5,DSL,Month-to-Month,64.18,323.25,Electronic Check,No
C00223,35,No Internet,Month-to-Month,91.26,2876.54,Bank Transfer,No
C00224,25,DSL,Month-to-Month,38.54,845.54,Electronic Check,No
C00225,70,dsl,Two Year,86.77,6320.44,Electronic Check,No
C00226,58,Fiber Optic,Month-to-Month,59.54,3341.31,Credit Card,No
C00227,29,DSL,Month-to-Month,82.41,2134.45,Mailed Check,No
C00228,21,DSL,Month-to-Month,76.82,$1610.6,Electronic Check,No
C00229,16,DSL,Two Year,62.11,938.99,Credit Card,No
C00230,30,Fiber Optic,Month-to-Month,59.05,2030.76,Electronic Check,No
C00231,55,DSL,Month-to-Month, 140.0 ,,Electronic Check,Yes
C00232,30,DSL,One Year,80.87,2309.5,Bank Transfer,No
C00233,12,Fiber Optic,Two Year,20.57,228.79,Mailed Check,No
C00234,16,DSL,Month-to-Month,48.27,764.21,Electronic Check,No
C00235,38, Dsl,Two Year,114.82,$3722.85,Electronic Check,No
C00236,7,DSL,Two Year,69.7,525.65,Credit Card,No
C00237,37,Fiber Optic,One Year,54.6,2242.08,Electronic Check,Yes
C00238,14,Fiber Optic,Month-to-Month,15.0,230.51,Credit Card,No
C00239,0,Fiber Optic,One Year,74.62,82.11,Electronic Check,No
C00240,2, Dsl,Month-to-Month,79.9,151.94,Mailed Check,No
C00241,37,No Internet,Two Year,63.1,2193.24,Electronic Check,No
C00242,47,Fiber Optic,Two Year,58.79,2866.03,Electronic Check,No
C00243,62,,Month-to-Month,49.02,2923.13,Electronic Check,Yes
C00244,61,Fiber Optic,One year ,79.29,4509.31,Electronic Check,No
C00245,14,,Two Year,43.32,681.76,Mailed Check,No
C00246,61,DSL,One Year,83.31,4871.23,Credit Card,No
C00247,37,DSL,Month-to-Month,37.81,1359.77,Electronic Check,No
C00248,19,DSL,month-to-month,68.09,1100.0,Credit Card,Yes
C00249,58,Fiber Optic,One Year,49.7,2580.85,Electronic Check,Yes
C00250,6,Fiber Optic,Month-to-Month,134.95,881.45,Credit Card,Yes
C00251,71,Fiber Optic,One Year,84.01,,Electronic Check,No
C00252,70,Fiber Optic,Month-to-Month,63.17,3859.52,Electronic Check,No
C00253,51,No Internet,Month-to-Month,45.97,2169.34,Electronic Check,No
C00254,3,No Internet,Month-to-Month,38.27,127.46,Bank Transfer,No
C00255,0,DSL,Month-to-Month,70.36,70.81,Electronic Check,Yes
C00256,37,No Internet,Month-to-Month,93.36,3632.96,Electronic Check,No
C00257,52,No Internet,Two Year,85.12,4323.93,Credit Card,No
C00258,2,No Internet,One Year,68.08,99999,Electronic Check,Yes
C00259,14,Fiber Optic,Month-to-Month,64.38,,Electronic Check,Yes
C00260,2,Fiber Optic,month-to-month,,199.37,Credit Card,No
C00261,32,DSL,Month-to-Month,48.83,1457.16,,No
C00262,55,DSL,Month-to-Month,129.87,7105.36,Mailed Check,Yes
C00263,32,DSL, two year,43.25,1237.83,Bank Transfer,Yes
C00264,30,No Internet,Month-to-Month,34.17,978.4,Bank Transfer,No
C00265,3,DSL, one year,129.58,,Electronic Check,Yes
C00266,21,DSL,Month-to-Month,75.09,1660.96,Electronic Check,No
C00267,30,DSL,Month-to-Month,68.85,2098.15,Credit Card,No
C00268,59,DSL,2 Year,94.29,$5711.62,,No
C00269,31,No Internet, Month-to-Month ,41.46,1131.11,Bank Transfer,Yes
C00270,70,DSL ,One Year,100.37,7939.61,Mailed Check,No
C00271,7,Fiber optic,Two Year,48.36,344.99,Bank Transfer,Yes
C00272,61,,Two Year,65.99,3489.25,Electronic Check,No
C00273,27,Fiber Optic,MONTHLY,64.17,1610.35,Electronic Check,Yes
C00274,65,Fiber Optic, one year,33.95,2042.5,Electronic Check,No
C00275,16,No Internet,Month-to-Month,88.64,1315.16,Electronic Check,Yes
C00276,1,Fiber Optic,Two Year,103.4,100.63,Mailed Check,Yes
C00277,7,Fiber Optic,2 Year,58.54,448.87,Electronic Check,No
C00278,37,DSL,Month-to-Month,46.57,1832.53,Electronic Check,Yes
C00279,19,DSL,One Year,76.42,1324.89,Credit Card,Yes
C00280,63,Fiber Optic,Month-to-Month,36.62,2577.92,Bank Transfer,Yes
C00281,20,No Internet,Two Year, 23.62 ,439.71,Bank Transfer,No
C00282,30,Fiber Optic,One Year,67.17,2152.48,Mailed Check,No
C00283,69,DSL,month-to-month,96.06,7011.57,Credit Card,Yes
C00284,14,fiber optic,Month-to-Month,111.66,1696.12,Electronic Check,Yes
C00285,56,dsl,Two Year,78.35,3872.57,Mailed Check,No
C00286,0,dsl,Month-to-Month,73.27,75.48,Electronic Check,No
C00287,28,No Internet,One Year,80.52,2068.03,Credit Card,No
C00288,65,fiber optic,One Year,63.49,4483.71,Bank Transfer,Yes
C00289,21,DSL ,One Year,36.88,825.23,Electronic Check,No
C00290,60,DSL,Month-to-Month,50.01,2626.08,Electronic Check,No
C00291,28,No Internet,Two Year,52.8,1635.18,Mailed Check,No
C00292,8,Fiber Optic,Two Year, 73.19 ,498.44,Bank Transfer,Yes
C00293,40, Dsl,Month-to-Month,98.69,3928.6,Electronic Check,Yes
C00294,20,DSL,MONTHLY,137.28,3076.62,Bank Transfer,Yes
C00295,54,No Internet,Month-to-Month,22.41,,Bank Transfer,No
C00296,39,Fiber Optic,One Year,41.67,1445.4,Credit Card,No
C00297,25,Fiber Optic,2 Year,95.37,2512.32,Bank Transfer,No
C00298,47,DSL,Month-to-Month,125.49,$6577.08,Mailed Check,No
C00299,2,DSL,Month-to-Month,100.34,196.55,Bank Transfer,Yes
C00300,32,Fiber Optic,Month-to-Month,55.89,1977.46,Mailed Check,Yes
C00301,41, Dsl,One Year,92.89,3614.75,Mailed Check,No
C00302,42,Fiber Optic,Month-to-Month,71.23,2610.83,Electronic Check,No
C00303,69,FIBER,One Year,31.26,2212.83,Mailed Check,No
C00304,3,DSL,Two Year,46.71,141.75,Credit Card,No
C00305,63,DSL,MONTHLY,88.08,6222.7,Mailed Check,No
C00306,69, Fiber Optic ,Month-to-Month,75.87,5297.42,Mailed Check,No
C00307,50,Fiber Optic,Month-to-Month,56.46,2523.93,Bank Transfer,Yes
C00308,66,Fiber Optic,Month-to-Month,61.86,3950.86,Electronic Check,No
C00309,17,Fiber Optic,Two Year,50.38,902.06,Electronic Check,No
C00310,19,No Internet,One Year,58.19,1010.74,Credit Card,No
C00311,29,DSL,Two Year,41.09,1167.96,Electronic Check,No
C00312,51,DSL,Month-to-Month,62.66,3389.94,Electronic Check,No
C00313,22, Fiber Optic ,Month-to-Month,71.44,1779.95,Bank Transfer,Yes
C00314,-5,DSL ,One Year,61.07,$2462.24,Electronic Check,No
C00315,2,,Month-to-Month,55.38,124.1,Mailed Check,No
C00316,49,DSL,One Year,51.52,2418.19,Electronic Check,No
C00317,8,No Internet,One Year,88.08,636.31,Credit Card,No
C00318,18,Fiber Optic,Two Year,,699.25,Electronic Check,No
C00319,35,DSL ,Month-to-Month,27.92,898.4,,No
C00320,39,Fiber Optic, Month-to-Month ,46.9,1707.22,Electronic Check,Yes
C00321,26,DSL,One Year,38.51,1090.84,Credit Card,No
C00322,71,DSL,Month-to-Month,87.96,5473.85,Bank Transfer,Yes
C00323,71,fiber optic,Month-to-Month,78.8,5066.77,Credit Card,Yes
C00324,20, No Internet ,Month-to-Month,26.61,586.53,Bank Transfer,Yes
C00325,12,DSL,Month-to-Month,92.82,1039.87,Credit Card,Yes
C00326,26,DSL,month-to-month,47.24,1399.95,Credit Card,No
C00327,61,Fiber optic,Month-to-Month,38.57,2688.07,,No
C00328,39,Fiber Optic,Month-to-Month,37.29,1305.35,,No
C00329,52, Fiber Optic ,Month-to-Month,29.37,1332.73,Credit Card,No
C00330,39,Fiber Optic,One Year,71.69,2395.06,Electronic Check,No
C00331,8,Fiber Optic,Month-to-Month,129.47,1104.34,Credit Card,Yes
C00332,26,DSL,Month-to-Month,47.56,1381.25,Credit Card,Yes
C00333,2,DSL,MONTHLY,71.62,130.67,Bank Transfer,No
C00334,55,Fiber Optic,Month-to-Month,69.04,4075.67,Mailed Check,No
C00335,52,Fiber Optic,Month-to-Month,68.3,$3325.94,Credit Card,No
C00336,3,Fiber Optic,Two Year,999,331.31,Bank Transfer,No
C00337,39,DSL ,Month-to-Month,95.06,$4243.28,Electronic Check,No
C00338,51,No Internet,One Year,38.74,2230.82,Electronic Check,No
C00339,55,Fiber Optic,Two Year,77.8,4397.19,Bank Transfer,Yes
C00340,64,Fiber Optic,Month-to-Month,38.65,2553.39,Bank Transfer,No
C00341,71,fiber optic,Month-to-Month,78.36,6321.0,Electronic Check,Yes
C00342,70,DSL,Month-to-Month,16.58,1047.27,Mailed Check,No
C00343,29,DSL,Month-to-Month,73.56,2196.07,Electronic Check,No
C00344,24,No Internet,month-to-month,58.74,1256.04,Electronic Check,No
C00345,38,No Internet,Month-to-Month,103.52,3880.05,Electronic Check,No
C00346,24,Fiber Optic,month-to-month,54.99,1472.66,,Yes
C00347,32,Fiber Optic,Month-to-Month,66.75,2386.66,Electronic Check,Yes
C00348,62,Fiber Optic,Month-to-Month,114.78,6794.15,Credit Card,No
C00349,53,DSL,Month-to-Month,86.97,4523.49,Bank Transfer,No
C00350,50,fiber optic,Month-to-Month,78.36,4485.96,Credit Card,No
C00351,51,DSL,Month-to-Month,60.99,3152.54,Bank Transfer,No
C00352,51,Fiber Optic,One Year,66.43,3536.44,Bank Transfer,No
C00353,55,Fiber Optic,Month-to-Month,31.51,1493.44,Mailed Check,Yes
C00354,72,DSL,Month-to-Month,42.67,3101.2,Credit Card,No
C00355,0,Fiber Optic,Two Year,61.26,65.56,Electronic Check,No
C00356,30, Dsl,One Year,89.36,2541.78,Bank Transfer,No
C00357,20, Fiber Optic ,Month-to-Month,93.76,$1729.41,Electronic Check,No
C00358,23,Fiber Optic,One Year,35.88,,Credit Card,No
C00359,18,Fiber Optic,Month-to-Month,38.92,614.64,Credit Card,Yes
C00360,60,No Internet,One Year,66.72,3757.13,Mailed Check,No
C00361,59,Fiber Optic,One Year,73.27,4935.85,Electronic Check,No
C00362,24,Fiber Optic,Two Year,69.43,1663.02,Credit Card,No
C00363,19, Fiber Optic ,Month-to-Month,64.57,1105.64,Bank Transfer,Yes
C00364,25,No Internet,Two Year,54.97,1176.22,Electronic Check,Yes
C00365,6,DSL,Month-to-Month,75.35,516.85,Electronic Check,Yes
C00366,66,,One Year,33.58,2277.91,Credit Card,No
C00367,55,DSL,Two Year,123.43,7343.23,Electronic Check,Yes
C00368,71,FIBER,Month-to-Month,93.64,6855.04,Bank Transfer,Yes
C00369,10,Fiber Optic,Month-to-Month,48.38,467.86,Electronic Check,Yes
C00370,71,Fiber Optic,Month-to-Month, 16.32 ,1050.61,Electronic Check,Yes
C00371,16,DSL,Month-to-Month,54.78,960.27,Electronic Check,No
C00372,71,Fiber Optic,Month-to-Month,81.7,5220.76,Electronic Check,Yes
C00373,46,,Month-to-Month,98.92,4600.92,Electronic Check,Yes
C00374,43,DSL ,One Year,78.0,$3703.52,Electronic Check,No
C00375,63,DSL,Month-to-Month,82.07,$5075.66,Credit Card,No
C00376,29,Fiber Optic,One Year,66.92,2192.09,Credit Card,No
C00377,42,Fiber Optic,Month-to-Month,73.53,3549.16,Bank Transfer,Yes
C00378,15,No Internet,Month-to-Month,83.79,1323.6,Electronic Check,Yes
C00379,3,Fiber Optic,Month-to-Month,71.11,222.49,Credit Card,Yes
C00380,49,DSL,Month-to-Month,54.61,3024.3,Electronic Check,No
C00381,33,Fiber Optic, Month-to-Month ,72.82,2730.22,Bank Transfer,No
C00382,34,Fiber Optic,Month-to-Month,65.52,2462.72,Credit Card,No
C00383,63,Fiber Optic, one year,56.08,3591.22,Bank Transfer,No
